</s><s> | Can you change the location to conference room b?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | David needs to be named</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | please change my meeting</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | The second one.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | What is the second event?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | What is the other event?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Ok, what is the second event?</s><pad><pad><pad><pad><pad>
</s><s> | Ok. What is the second event?</s><pad><pad><pad><pad><pad>
</s><s> | What's the second event?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Ok, and the second event?</s><pad><pad><pad><pad><pad><pad>
</s><s> | What's the other event?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | What's the next one?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | What is the other event on Saturday?</s><pad><pad><pad><pad><pad>
</s><s> | What is the other event on my calendar</s><pad><pad><pad><pad><pad>
</s><s> | add doctor to the calendar for the day after tomorrow</s><pad><pad><pad>
</s><s> | add doctor to my calendar for the day after tomorrow</s><pad><pad><pad>
</s><s> | Add doctor to the calendar for the day after tomorrow.</s><pad><pad>
</s><s> | Add an appointment to the doctor for the day after tomorrow</s><pad><pad>
</s><s> | Make an appointment for the doctor the day after tomorrow</s><pad><pad><pad>
</s><s> | The day after tomorrow, make an appointment with my doctor</s><pad><pad>
</s><s> | Add doctor to the calendar for the day after tomorrow</s><pad><pad><pad>
</s><s> | Create a new doctor event for the day after tomorrow</s><pad><pad><pad>
</s><s> | The day after tomorrow, make an appointment to the doctor</s><pad><pad>
</s><s> | The day after tomorrow, make an appointment for doctor</s><pad><pad><pad>
</s><s> | Please schedule the second option.</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Add the second option to my calendar</s><pad><pad><pad><pad><pad><pad>
</s><s> | When is the second option available?</s><pad><pad><pad><pad><pad><pad>
</s><s> | Please schedule the second option</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Set up the second one</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | please schedule the second one</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Can you schedule the second option?</s><pad><pad><pad><pad><pad><pad>
</s><s> | please schedule the second option</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Set up the second one please</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | When is the second option?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Do I have any papers due this week?</s><pad><pad><pad><pad>
</s><s> | Defer the meeting with catherin</s><pad><pad><pad><pad><pad>
</s><s> | Defer the meeting with lee Chan</s><pad><pad><pad><pad><pad>
</s><s> | When is my next free afternoon?</s><pad><pad><pad><pad><pad><pad>
</s><s> | How do I create an event?</s><pad><pad><pad><pad><pad><pad>
</s><s> | Defer the meeting with lee Chan today</s><pad><pad><pad><pad>
</s><s> | When is my next free day?</s><pad><pad><pad><pad><pad><pad>
</s><s> | Defer the meeting with lee Wei</s><pad><pad><pad><pad><pad>
</s><s> | Can you tell me the weather for tomorrow?</s><pad><pad><pad><pad>
</s><s></s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Spartan 008-Li</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | No, look for the name Spartan 008-Li</s><pad><pad>
</s><s> | Is there anything else about the Spartan 008-Li?</s><pad>
</s><s> | Look up the contact details for Spartan 008-Li</s><pad><pad>
</s><s> | No, look up the name Spartan 008-Li</s><pad><pad>
</s><s> | How about the other Spartan 008-Li?</s><pad><pad><pad>
</s><s> | Spartan 008-Li?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | No, look for the name Spartan 008-Li.</s><pad>
</s><s> | Is there anything else about the Spartan 008-Li</s><pad><pad>
</s><s> | My friend is Spartan 008-Li</s><pad><pad><pad><pad><pad>
</s><s> | How old are you?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | hi, i need to book a train</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | hi, i want to book a train</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | hi, i need help finding a doctor</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | I need help with using my phone</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | I need help with my taxes.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | I need help with using my phone.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | create a timer for me tomorrow</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | What is the current exchange rate?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | create a timer for me</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | change start time as 4 pm</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Change the time to 4pm</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Change time to 4pm</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | 4PM is better.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | 4PM is the new time.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | change start time as 4</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | change time to 4pm</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | change start time as 4 PM</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Change start time to 4 pm.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | 4PM is better</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Where is the closest dunkin donuts?</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Where is the closest ice skating rink?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Do you know the address of the amphitheater?</s><pad><pad><pad><pad><pad><pad>
</s><s> | What is the address of the amphitheater?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Where is the closest starbucks?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | What is the address of the concert this weekend?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Where is the closest ice skating rink to me?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | What is the address of the amphitheater tomorrow?</s><pad><pad><pad><pad><pad><pad>
</s><s> | What's the address of the concert this weekend?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | What's the address of the amphitheater?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | I will be with my team all next week at Wichitaiiai</s><pad>
</s><s> | I will be with my team all of next week at Wichitaiiai</s>
</s><s> | I will be at Wichitaiiai all next week with my team</s><pad>
</s><s> | I will be at Wichitaiiai all of next week with my team</s>
</s><s> | I will be with my team all next week in Wichitaiiai</s><pad>
</s><s> | I'll be with my team all next week at Wichitaiiai</s><pad>
</s><s> | All next week I will be with my team at Wichitaiiai</s><pad>
</s><s> | I will be with my team at Wichitaiiai all next week</s><pad>
</s><s> | I will be with my team at Wichitaiiai all of next week</s>
</s><s> | I'll be at Wichitaiiai all next week with my team</s><pad>
</s><s> | add a meeting with doctor john tomorrow at 11:30 pm</s><pad><pad><pad><pad><pad>
</s><s> | add a meeting with doctor john tomorrow at 11 :30 pm</s><pad><pad><pad><pad><pad>
</s><s> | meeting with doctor john tomorrow at 11:30 pm</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | schedule a meeting with doctor john tomorrow at 11:30 pm</s><pad><pad><pad><pad><pad>
</s><s> | add a meeting with doctor john tomorrow at 11 : 30 pm</s><pad><pad><pad><pad><pad>
</s><s> | I need a meeting with doctor john tomorrow at 11:30 pm</s><pad><pad><pad><pad>
</s><s> | schedule a meeting with doctor john tomorrow at 11:30 pm.</s><pad><pad><pad><pad>
</s><s> | add a meeting with doctor john tomorrow at 11:30 pm.</s><pad><pad><pad><pad>
</s><s> | add meeting with doctor john tomorrow at 11:30 pm</s><pad><pad><pad><pad><pad><pad>
</s><s> | Schedule a meeting with doctor john tomorrow at 11:30 pm.</s><pad><pad><pad><pad>
</s><s> | What about tomorrow?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | How about tomorrow?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | And tomorrow?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | What about tomorrow?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | what about tomorrow?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | What about tomorrow</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | How about tomorrow?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | what about tomorrow?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | how about tomorrow?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | And tomorrow?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Move my lunch back a few days.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Can you change the time of my lunch tomorrow?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Can you change the time of the lunch?</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | change the lunch date and time</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Can you change the time of my lunch appointment?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Can you change the time of the Lunch?</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | can you change the time</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | I need to change the time of my lunch tomorrow</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | I need to change the time of the staff meeting</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | change the time lunch</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Can you schedule a meeting at City Hall next week?</s><pad><pad><pad><pad><pad><pad>
</s><s> | Schedule a meeting at City Hall next week.</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Can you make a meeting at City Hall next week?</s><pad><pad><pad><pad><pad><pad>
</s><s> | Schedule a meeting at City Hall for next week.</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Make a meeting at City Hall next week.</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Make a meeting at City Hall next week</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Set up a meeting at City Hall next week.</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | I need to schedule a meeting at City Hall next week</s><pad><pad><pad><pad><pad><pad>
</s><s> | Can you schedule a meeting in City Hall next week?</s><pad><pad><pad><pad><pad><pad>
</s><s> | Can you schedule a meeting at City Hall next week.</s><pad><pad><pad><pad><pad><pad>
</s><s> | Please schedule a meeting with the pope tomorrow.</s><pad><pad><pad><pad><pad><pad>
</s><s> | I wanna meet my mom at today 6 pm</s><pad><pad><pad><pad><pad><pad>
</s><s> | When is my next meeting with my mates?</s><pad><pad><pad><pad><pad><pad>
</s><s> | When is my next meeting with mom?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | I wanna meet my mom at today 6 PM</s><pad><pad><pad><pad><pad><pad>
</s><s> | I wanna meet my mom at today 6pm</s><pad><pad><pad><pad><pad><pad>
</s><s> | I wanna meet my dad at today 6 pm</s><pad><pad><pad><pad><pad><pad>
</s><s> | I wanna meet my mom at today 7 pm</s><pad><pad><pad><pad><pad><pad>
</s><s> | When is my next lunch with mom?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | I wanna meet my mom at today 7 PM</s><pad><pad><pad><pad><pad><pad>
</s><s> | Yes please cancel.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes it is.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes, please.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes please.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | yes</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes please</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | yes please</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes please cancel this.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Yes</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | How do I create an event?</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | How do I add an event to my calendar?</s><pad><pad><pad><pad><pad>
</s><s> | How do I add events to my calendar?</s><pad><pad><pad><pad><pad><pad>
</s><s> | How do I create an event on my calendar?</s><pad><pad><pad><pad><pad>
</s><s> | How do I create a calendar?</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | When is my next free day?</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | What is the address of my doctor's office?</s><pad><pad><pad><pad><pad>
</s><s> | how do I create an event?</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | How do I add an event to my calendar</s><pad><pad><pad><pad><pad><pad>
</s><s> | What is the chat id</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Will it rain for saturday's picnic?</s><pad><pad><pad><pad><pad><pad>
</s><s> | Will it rain saturday during the picnic?</s><pad><pad><pad><pad><pad><pad>
</s><s> | Will it rain during the picnic on Saturday?</s><pad><pad><pad><pad><pad><pad>
</s><s> | Will it rain for my picnic on Saturday?</s><pad><pad><pad><pad><pad><pad>
</s><s> | Will it rain during the picnic Saturday?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Will it rain for Saturday's picnic?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Will it rain during my picnic on Saturday?</s><pad><pad><pad><pad><pad><pad>
</s><s> | Will it rain for the picnic on Saturday?</s><pad><pad><pad><pad><pad><pad>
</s><s> | will it rain saturday during the picnic?</s><pad><pad><pad><pad><pad><pad>
</s><s> | Will it rain for my picnic Saturday?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Cancel tomorrow's birthday with Emily, Joseph, Lois, and Stewie.</s>
</s><s> | Cancel my birthday tomorrow with Emily, Joseph, Lois, and Stewie.</s>
</s><s> | Cancel my birthday event tomorrow with Emily, Joseph, Lois, and Stewie</s>
</s><s> | Cancel tomorrow's birthday event with Emily, Joseph, Lois and Stewie.</s>
</s><s> | Cancel tomorrow's birthday event with Emily, Joseph, Lois, and Stewie</s>
</s><s> | Cancel tomorrow's birthday with Emily, Joseph, Lois, and Stewie</s><pad>
</s><s> | Cancel my birthday event tomorrow with Emily, Joseph, Lois and Stewie.</s>
</s><s> | Cancel my birthday tomorrow with Emily, Joseph, Lois, and Stewie</s><pad>
</s><s> | Cancel the birthday event tomorrow with Emily, Joseph, Lois, and Stewie</s>
</s><s> | Cancel tomorrow's birthday with Emily, Joseph, Lois and Stewie.</s><pad>
</s><s> | Do I have any other appointments this week?</s><pad><pad><pad><pad><pad><pad>
</s><s> | Do I have anything else scheduled this week?</s><pad><pad><pad><pad><pad><pad>
</s><s> | Do I have anything else this week?</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Do I have any other appointments scheduled this week?</s><pad><pad><pad><pad><pad>
</s><s> | Do I have any other events this week?</s><pad><pad><pad><pad><pad><pad>
</s><s> | Do I have anything else scheduled for this week?</s><pad><pad><pad><pad><pad>
</s><s> | Do I have any other meetings this week?</s><pad><pad><pad><pad><pad><pad>
</s><s> | Do I have any other appointments for this week?</s><pad><pad><pad><pad><pad>
</s><s> | Do I have any other events scheduled this week?</s><pad><pad><pad><pad><pad>
</s><s> | Do I have anything else on my calendar this week</s><pad><pad><pad><pad><pad>
</s><s> | Do I have anything in June with people coming?</s><pad><pad><pad><pad><pad>
</s><s> | Do I have any events with people coming in June?</s><pad><pad><pad><pad>
</s><s> | Do I have any events in June with people coming?</s><pad><pad><pad><pad>
</s><s> | Do I have any events in June with attendees?</s><pad><pad><pad><pad><pad>
</s><s> | Do I have any events in June with people attending?</s><pad><pad><pad><pad>
</s><s> | Do I have anything in June with people attending?</s><pad><pad><pad><pad><pad>
</s><s> | Do I have anything with people coming in June?</s><pad><pad><pad><pad><pad>
</s><s> | Do I have anything in June with attendees?</s><pad><pad><pad><pad><pad><pad>
</s><s> | Do I have any events with attendees in June?</s><pad><pad><pad><pad><pad>
</s><s> | Thanks. Do I have any events in June with attendees?</s><pad><pad><pad>
</s><s> | What time is sunset?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | When is sunset?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | When will the sun set today?</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | What time is sunset today?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | When is sunset today?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | What time will sunset be today?</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | what time is sunset today?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | what time will the sun set today</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | What time will sunset be?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | what time is sunset?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | cancel the meeting with martin</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | cancel meeting with martin</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Cancel meeting with martin</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | cancel my meeting with martin</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | delete the meeting with martin</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Delete my meeting with martin</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Delete meeting with martin</s><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Cancel the meeting with martin</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Cancel my meeting with martin</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Delete the meeting with martin</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | What soccer games do I have with Tara this week?</s><pad><pad>
</s><s> | What soccer games am I going to with Tara this week?</s><pad>
</s><s> | What soccer games do I have scheduled with Tara this week?</s><pad>
</s><s> | What soccer games am I scheduled to attend with Tara this week?</s>
</s><s> | Search for soccer games with Tara this week.</s><pad><pad><pad><pad>
</s><s> | What soccer games am I attending with Tara this week?</s><pad><pad>
</s><s> | What soccer games do I have going on with Tara this week?</s>
</s><s> | search for soccer games with Tara this week</s><pad><pad><pad><pad><pad>
</s><s> | Can you search for any soccer games I have with Tara this week</s>
</s><s> | What soccer games am I going to with Tara this week.</s><pad>
</s><s> | Please create an event for my birthday next week on thursday.</s>
</s><s> | Create an event for my birthday next week on thursday</s><pad><pad>
</s><s> | Please create an event for my birthday next week on thursday</s><pad>
</s><s> | Create an event for my birthday next week on thursday.</s><pad>
</s><s> | Please add my birthday to the calendar for Thursday of next week.</s>
</s><s> | Please add my birthday to the calendar for Thursday of next week</s><pad>
</s><s> | Please put my birthday on the calendar for Thursday of next week.</s>
</s><s> | Please add my birthday to the calendar on Thursday of next week.</s>
</s><s> | Please add my birthday to the calendar on Thursday of next week</s><pad>
</s><s> | Please create an event for my birthday next week on Thursday.</s><pad>
</s><s> | Schedule a meeting with Tom on Thursday at noon.</s><pad><pad><pad>
</s><s> | Schedule a meeting with Tom on Thursday at Noon.</s><pad><pad><pad>
</s><s> | Make an event for Thursday at Noon with Tom</s><pad><pad><pad><pad>
</s><s> | Thursday noon, Tom Catch - Up</s><pad><pad><pad><pad><pad><pad>
</s><s> | Schedule a meeting with Tom for Thursday at Noon.</s><pad><pad><pad>
</s><s> | Schedule a meeting with Tom for Thursday at noon.</s><pad><pad><pad>
</s><s> | Thursday Noon, meet with Tom</s><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Set a meeting with Tom on Thursday at noon.</s><pad><pad><pad>
</s><s> | Thursday noon, Tom Catch - Up.</s><pad><pad><pad><pad><pad>
</s><s> | Set an appointment for Thursday at Noon with Tom</s><pad><pad><pad><pad>
</s><s> | What about Friday?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | I meant Friday</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | wait i meant Friday</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | wait I meant Friday</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | what about Friday?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | what about Friday?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | what about Friday</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Sorry I meant Friday</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | I meant Friday.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | what about Friday instead</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Change my work lunch from 1 pm to 1:30 pm.</s>
</s><s> | Change my work lunch from 1pm to 1:30pm.</s>
</s><s> | Change my work lunch at 1 pm to 1:30 pm.</s>
</s><s> | Change my work lunch from 1pm to 1:30pm</s><pad>
</s><s> | Change my work lunch from 1pm to 1:30</s><pad><pad>
</s><s> | Can you change my work lunch to 1:30 PM?</s><pad>
</s><s> | Change my work lunch at 1pm to 1:30pm.</s>
</s><s> | Can you change my work lunch to 1:30 pm?</s><pad>
</s><s> | Change my work lunch from 1 pm to 1:30</s><pad><pad>
</s><s> | Change my work lunch from 1 pm to 1:30 pm</s><pad>
</s><s> | Make the conference call on Wednesday 1 hour long.</s><pad><pad><pad>
</s><s> | Make my conference call on Wednesday 1 hour long.</s><pad><pad><pad>
</s><s> | The conference call on Wednesday should be for one hour.</s><pad><pad>
</s><s> | The conference call on Wednesday needs to be for one hour.</s><pad>
</s><s> | The conference call on Wednesday needs to be 1 hour.</s><pad><pad>
</s><s> | The conference call on Wednesday needs to be 1 hour long.</s><pad>
</s><s> | My conference call on Wednesday needs to be 1 hour long.</s><pad>
</s><s> | Change my conference call on Wednesday to be 1 hour long.</s><pad>
</s><s> | Make the conference call Wednesday 1 hour long.</s><pad><pad><pad><pad>
</s><s> | My conference call on Wednesday needs to be 1 hour.</s><pad><pad>
</s><s> | Do I have any papers due this week?</s><pad><pad><pad><pad>
</s><s> | Defer the meeting with catherin</s><pad><pad><pad><pad><pad>
</s><s> | Defer the meeting with lee Chan</s><pad><pad><pad><pad><pad>
</s><s> | When is my next free afternoon?</s><pad><pad><pad><pad><pad><pad>
</s><s> | How do I create an event?</s><pad><pad><pad><pad><pad><pad>
</s><s> | Defer the meeting with lee Chan today</s><pad><pad><pad><pad>
</s><s> | When is my next free day?</s><pad><pad><pad><pad><pad><pad>
</s><s> | Defer the meeting with lee Wei</s><pad><pad><pad><pad><pad>
</s><s> | Can you tell me the weather for tomorrow?</s><pad><pad><pad><pad>
</s><s></s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Kim can't make it but Jennifer can.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Kim can't make it anymore but Jennifer can.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Kim can't make it but Jennifer can</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Can you remove Kim and add Jennifer?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Kim can't make it either but Jennifer can.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Kim can't make it but Jennifer will be there</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Can you take Kim off and add Jennifer?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Kim is out and Jennifer is in</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Actually take Kim off and add Jennifer</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Kim can't make it anymore but Jennifer can</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Does Cracker Barrel in Lebanon, TN have waiter service?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Does Cracker Barrel in Lebanon, TN have waiter service</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | does Cracker Barrel in Lebanon, TN have waiter service?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Does Cracker Barrel in Lebanon, TN offer waiter service?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Does Cracker Barrel in Lebanon, TN have waiter services?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Is there waiter service at Cracker Barrel in Lebanon, TN?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | does Cracker Barrel in Lebanon, TN have waiter service</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Tell me if Cracker Barrel in Lebanon, TN has waiter service.</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Please tell me if Cracker Barrel in Lebanon, TN has waiter service</s><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Tell me if Cracker Barrel in Lebanon, TN has waiter service</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Am I busy on March 21st next year?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Am I busy on March 21 of next year?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | Am I busy on March 21 next year?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | am I busy on March 21st next year?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | am i busy on March 21 next year</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | am I busy on March 21 of next year?</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
</s><s> | am I busy on March 21 of next year</s><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
